,country,code,indicator,indicator_code,year,gdp
0,Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1960,
1,Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,1960,537777811.1
2,Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,1960,
3,Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,1960,
4,Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,1960,
5,Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,1960,
6,United Arab Emirates,ARE,GDP (current US$),NY.GDP.MKTP.CD,1960,
7,Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,1960,
8,Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,1960,
9,American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,1960,
10,Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1960,
11,Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1960,18577668272.0
12,Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,1960,6592693841.0
13,Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,1960,
14,Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,1960,195999990.0
15,Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,1960,11658722591.0
16,Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,1960,226195579.4
17,Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,1960,330442817.2
18,Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,1960,4274893913.0
19,Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,1960,
20,Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,1960,
21,"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,1960,169803921.6
22,Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,1960,
23,Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,1960,
24,Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1960,28071888.56
25,Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,1960,84466654.08
26,Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,1960,373879363.6
27,Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1960,15165569913.0
28,Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1960,
29,Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,1960,
30,Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,1960,
31,Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,1960,30412308.99
32,Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1960,112155598.9
33,Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1960,40461721693.0
34,Central Europe and the Baltics,CEB,GDP (current US$),NY.GDP.MKTP.CD,1960,
35,Switzerland,CHE,GDP (current US$),NY.GDP.MKTP.CD,1960,9522746719.0
36,Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,1960,
37,Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,1960,4110000000.0
38,China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1960,59716467625.0
39,Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,1960,546203561.6
40,Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,1960,618740988.0
41,"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,1960,3359404118.0
42,"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,1960,131731862.6
43,Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,1960,4031152977.0
44,Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,1960,
45,Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1960,
46,Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,1960,507513830.0
47,Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,1960,1880306123.0
48,Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,1960,
49,Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,1960,
50,Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,1960,
51,Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,1960,
52,Czech Republic,CZE,GDP (current US$),NY.GDP.MKTP.CD,1960,
53,Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1960,
54,Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,1960,
55,Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,1960,
56,Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,1960,
57,Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,1960,672399700.0
58,Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,1960,
59,East Asia & Pacific (excluding high income),EAP,GDP (current US$),NY.GDP.MKTP.CD,1960,80250159670.0
60,Early-demographic dividend,EAR,GDP (current US$),NY.GDP.MKTP.CD,1960,151710000000.0
61,East Asia & Pacific,EAS,GDP (current US$),NY.GDP.MKTP.CD,1960,153258000000.0
62,Europe & Central Asia (excluding high income),ECA,GDP (current US$),NY.GDP.MKTP.CD,1960,
63,Europe & Central Asia,ECS,GDP (current US$),NY.GDP.MKTP.CD,1960,
64,Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,1960,2069465326.0
65,"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,1960,
66,Euro area,EMU,GDP (current US$),NY.GDP.MKTP.CD,1960,244896000000.0
67,Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,1960,
68,Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,1960,12072126075.0
69,Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,1960,
70,Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,1960,
71,European Union,EUU,GDP (current US$),NY.GDP.MKTP.CD,1960,
72,Fragile and conflict affected situations,FCS,GDP (current US$),NY.GDP.MKTP.CD,1960,17268136193.0
73,Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,1960,5224102196.0
74,Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,1960,112328422.1
75,France,FRA,GDP (current US$),NY.GDP.MKTP.CD,1960,62225478001.0
76,Faroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,1960,
77,"Micronesia, Fed. Sts.",FSM,GDP (current US$),NY.GDP.MKTP.CD,1960,
78,Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,1960,141468977.6
79,United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,1960,73233967692.0
80,Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,1960,
81,Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,1960,1217230038.0
82,Gibraltar,GIB,GDP (current US$),NY.GDP.MKTP.CD,1960,
83,Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,1960,
84,"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,1960,
85,Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,1960,
86,Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,1960,
87,Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,1960,4335186017.0
88,Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,1960,
89,Greenland,GRL,GDP (current US$),NY.GDP.MKTP.CD,1960,
90,Guatemala,GTM,GDP (current US$),NY.GDP.MKTP.CD,1960,1043599900.0
91,Guam,GUM,GDP (current US$),NY.GDP.MKTP.CD,1960,
92,Guyana,GUY,GDP (current US$),NY.GDP.MKTP.CD,1960,170215248.2
93,High income,HIC,GDP (current US$),NY.GDP.MKTP.CD,1960,1062840000000.0
94,"Hong Kong SAR, China",HKG,GDP (current US$),NY.GDP.MKTP.CD,1960,1320796652.0
95,Honduras,HND,GDP (current US$),NY.GDP.MKTP.CD,1960,335650000.0
96,Heavily indebted poor countries (HIPC),HPC,GDP (current US$),NY.GDP.MKTP.CD,1960,17370230008.0
97,Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,1960,
98,Haiti,HTI,GDP (current US$),NY.GDP.MKTP.CD,1960,273187200.0
99,Hungary,HUN,GDP (current US$),NY.GDP.MKTP.CD,1960,
100,IBRD only,IBD,GDP (current US$),NY.GDP.MKTP.CD,1960,303359000000.0
101,IDA & IBRD total,IBT,GDP (current US$),NY.GDP.MKTP.CD,1960,339771000000.0
102,IDA total,IDA,GDP (current US$),NY.GDP.MKTP.CD,1960,37757890729.0
103,IDA blend,IDB,GDP (current US$),NY.GDP.MKTP.CD,1960,12078454384.0
